id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3
864,The Bachelor,1999,Sutter-Stockton Garage (330 Sutter Street at Stockton),Garage roof serves as a heliport in the movie,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,
865,The Bachelor,1999,Washington Square Park (North Beach),"Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach. The statue in the Park is Ben Franklin, not George Washington.",George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,
866,The Bachelor,1999,Merchant Exchange (465 California Street at Leidesdortt),,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,
867,The Bachelor,1999,Columbus Avenue at Green & Stockton,,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,
868,The Bachelor,1999,Mama's Restaurant (1701 Stockton),,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,
869,The Birds,1963,Powell and Geary Streets (Union Square),"The pet shop featured in the film does not exist, but was based on the now-closed Robison's House of Pets formerly located on Maiden Lane.",Universal Pictures,Universal Pictures,Alfred Hitchcock,Evan Hunter,Tippi Hedren,Suzanne Pleshette,
870,The Bridge,2006,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Easy There Tiger Productions,IFC Films,Eric Steel,N/A,John Snowden,,
871,The Caine Mutiny,1954,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts,Humphrey Bogart,Fred MacMurray,
872,The Caine Mutiny,1954,The Embarcadero,,Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts,Humphrey Bogart,Fred MacMurray,
873,The Californians,2005,,,Parker Film Company,Fabrication Films,Jonathan Parker,Jonathan Parker & Catherine DiNapoli,Noah Wyle,,
874,The Candidate,1972,"Westin St. Francis Hotel (335 Powell Street, Union Square)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels. ",Redford-Ritchie Productions,Warner Bros. Pictures,Michael Ritchie,Jeremy Larner,Robert Redford,Peter Boyle,
875,The Competiton,1980,California Academy of Sciences (Golden Gate Park),"Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States.",Columbia Pictures Corporation,American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Lee Remick,
876,The Competiton,1980,Pier 39,,Columbia Pictures Corporation,American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Lee Remick,
877,The Conversation,1974,"Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center)",,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
878,The Conversation,1974,Financial District,,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
879,The Conversation,1974,"Neiman Marcus (150 Stockton Street, Union Square)",In the film the City of Paris Department Store is featured. That establishment was located where Neiman Marcus stnads today,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
880,The Conversation,1974,One Embarcadero Center (Financial District),,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
881,The Conversation,1974,"Saks Fifth Avenue (384 Post Street, Union Square)",,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
882,The Conversation,1974,Union Square,"During the Civil War, pro-Union rallies were held in the Square, and thus the area was called ""Union Square"". ",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
883,The Conversation,1974,"Westin St. Francis Hotel (335 Powell Street, Union Square)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels. ",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
884,The Conversation,1974,Alamo Square (Hayes Valley),,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,Mandy Patinkin
885,The Conversation,1974,Alcoa Building (1 Maritime Plaza),"A partially-above ground parking structure near the building made it necessary for architects to make the Alcoa Building's diagonal bracing visible, instead of placing it inside and drastically reducing the amount usable interior space. ",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
886,The Conversation,1974,Alta Plaza Park (Steiner Street),The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
887,The Conversation,1974,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)",,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,,
888,The Core,2003,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",David Foster Productions,Paramount Pictures,John Amiel,Cooper Lane,Aaron Eckhart,Hilary Swank,
889,The Dead Pool,1988,550 El Camino Del Mar (Seacliff),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
890,The Dead Pool,1988,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County. ,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
891,The Dead Pool,1988,1954 Mason Street (North Beach),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
892,The Dead Pool,1988,20th & DeHaro Streets (Potrero Hill),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
893,The Dead Pool,1988,22nd & Wisconsin Streets (Potrero Hill),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
894,The Dead Pool,1988,22nd Bet. Carolina & Rhode Island Streets (Potrero Hill),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
895,The Dead Pool,1988,New Asia Restaurant (772 Pacific Avenue at Grant),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
896,The Dead Pool,1988,San Francisco Drydock (The Dogpatch),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
897,The Dead Pool,1988,Washington Square Park (North Beach),"Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach. The statue in the Park is Ben Franklin, not George Washington.",Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
898,The Dead Pool,1988,One Thousand Powell Apartments (1000 Powell Street),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
899,The Dead Pool,1988,"The Cannery (281 Leavenworth Street, Fisherman's Wharf)",,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
900,The Dead Pool,1988,Posrtsmouth Square (Chinatown),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
901,The Dead Pool,1988,Pierce St. & Golden Gate Avenue (Hayes Valley),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
902,The Dead Pool,1988,Pierce & California Streets (Pacific Heights),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
903,The Dead Pool,1988,Pier 3 (The Embarcadero),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Ellen Barkin
904,The Dead Pool,1988,"Nam Yuen Restaurant (740 Washington Street, Chinatown)",,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
905,The Dead Pool,1988,"Mirant Energy, LLC (1301 Illinois Street, The Dogpatch)",,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
906,The Dead Pool,1988,McAllister & Scott Streets (Hayes Valley),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
907,The Dead Pool,1988,"KGO-TV ABC7 TV Studios (900 Front Street, Waterfront Historic District)",,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
908,The Dead Pool,1988,Hall of Justice (850 Bryant Street),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
909,The Dead Pool,1988,"San Francisco National Military Cemetary (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center)",,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
910,The Dead Pool,1988,"Silver Restaurant (737 Washington Street, Chinatown)",,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
911,The Dead Pool,1988,Fremont Street Exit of Bay Bridge,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
912,The Dead Pool,1988,Folsom & Essex Streets,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
913,The Dead Pool,1988,"Eber Electronics (2355 Market Street, Castro)",,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
914,The Dead Pool,1988,Clementina & Sumner Streets,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
915,The Dead Pool,1988,Carl & Cole Streets (Cole Valley),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
916,The Dead Pool,1988,710 Steiner Street (Hayes Valley),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
917,The Dead Pool,1988,23rd & Iowa Streets (Dogpatch),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,
918,The Diary of a Teenage Girl,2015,Geary St. from Polk to Larkin,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
919,The Diary of a Teenage Girl,2015,Victoria Theatre,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
920,The Diary of a Teenage Girl,2015,Yerba Buena Island,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
921,The Diary of a Teenage Girl,2015,SPECS' Twelve Adler Museum Caf̩,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
922,The Diary of a Teenage Girl,2015,Ocean Beach at Point Lobos,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
923,The Diary of a Teenage Girl,2015,700 Kansas St.,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
924,The Diary of a Teenage Girl,2015,Presidio Branch Library,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
925,The Diary of a Teenage Girl,2015,The Royal Oak,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
926,The Diary of a Teenage Girl,2015,Tonic,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
927,The Diary of a Teenage Girl,2015,Polk and Northpoint St.,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
928,The Diary of a Teenage Girl,2015,770 Haight St.,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
929,The Diary of a Teenage Girl,2015,Tank Hill Park,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
930,The Diary of a Teenage Girl,2015,Hamburger Haven,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
931,The Diary of a Teenage Girl,2015,Higher Grounds Coffee House,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
932,The Diary of a Teenage Girl,2015,304 Lily St.,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
933,The Diary of a Teenage Girl,2015,The Magazine at 920 Larkin,,"Diary the Movie, LLC",,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
934,The Doctor,1991,,,Silver Screen Partners IV,Buena Vista Pictures,Randa Haines,Robert Caswell,William Hurt,Christine Lahti,
935,The Doors,1991,,,Bill Graham Films,TriStar Pictures,Oliver Stone,J. Randal Johnson,Val Kilmer,Meg Ryan,
936,The Enforcer,1976,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,
937,The Enforcer,1976,Sutter & Webster Streets,,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Carrie-Anne Moss
938,The Enforcer,1976,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)","This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.",Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Dennis Miller
939,The Enforcer,1976,23rd & Capp Streets (Mission District),,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Natasha Richardson
940,The Enforcer,1976,24th Street Mini Park (Mission District),,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Giovanni Ribisi
941,The Enforcer,1976,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Giovanni Ribisi
942,The Enforcer,1976,Balmy Street (Mission District),,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Giovanni Ribisi
943,The Enforcer,1976,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,
944,The Enforcer,1976,Hall of Justice,,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Dennis Miller
945,The Fan,1996,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick openend in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Mandalay Entertainment,Columbia TriStar,Tony Scott,Phoef Sutton,Robert De Niro,Wesley Snipes,Meg Ryan
946,The Fog of War,2003,,,Sony Pictures Classics,Sony Pictures Classics,Errol Morris,N/A,Robert McNamara,,Meg Ryan
947,The Game,1997,Sheraton Palace Hotel (639 Market Street),"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909. ",Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan
948,The Game,1997,Ritz-Carlton Hotel (600 Stockton Street),,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan
949,The Game,1997,Presidio (Golden Gate National Recreation Area),"In 1776, Spain made the Presido a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ",Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan
950,The Game,1997,Merchant Exchange Building,,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan
951,The Game,1997,Mason & California Streets (Nob Hill),,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan
952,The Game,1997,Harrison Street (The Embarcadero),,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan
953,The Game,1997,City Club (155 Sansome Street),,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan
954,The Game,1997,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugene Cardinal Pacelli, who later became Pope Pius XII. ",Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan
955,The Game,1997,Bank of America Building (555 California Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan
956,The Game,1997,301 Howard Street,,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan
957,The Game,1997,1 Bush Street,,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Hector Elizondo
958,The Game,1997,Washington Street & Waverly Place (Chinatown),,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan
959,The Game,1997,"Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown)","Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.",Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan
960,The Game,1997,Merchant Exchange Building (465 California Street),,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Meg Ryan
961,The Graduate,1967,San Francisco Zoo (2701 Sloat Blvd.),,Embassy Pictures Corporation,Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft,Dustin Hoffman,Hector Elizondo
962,The Graduate,1967,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugene Cardinal Pacelli, who later became Pope Pius XII. ",Embassy Pictures Corporation,Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft,Dustin Hoffman,Hector Elizondo
963,The House on Telegraph Hill,1951,Telegraph Hill,"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,,Hector Elizondo
964,The House on Telegraph Hill,1951,1227 Montgomery Street,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,,Hector Elizondo
965,The House on Telegraph Hill,1951,Market Street,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,,Hector Elizondo
966,The House on Telegraph Hill,1951,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,,Hector Elizondo
967,The Internship,2013,Montgomery and Union St.,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne
968,The Internship,2013,Epic Roasthouse,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne
969,The Internship,2013,Grant Ave from Sacramento to Clay,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne
970,The Internship,2013,Players Arcade at Pier 39,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne
971,The Jazz Singer,1927,Coffee Dan's (O'Farrell Street at Powell),,Warner Bros. Pictures,Warner Bros. Pictures,Alan Crosland,Alfred A. Cohn,Al Jolson,,Amy Adams
972,The Lady from Shanghai,1947,Mandarin Theatre (1021 Grant Avenue),The Mandarin Theatre was renamed the Sun Sing Theatre in 1949. It closed 1986.,Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Thandie Newton
973,The Lady from Shanghai,1947,Golden Gate Park,"The Playland amusement park wehre ""Hall of Mirrors"" sequence at the end of the movie was filmed has since been destroyed. However, relics from the park are now housed at the nearby Cliff House.",Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Thandie Newton
974,The Lady from Shanghai,1947,Fomer Hall of Justice (750 Kearny Street at Washington),,Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Thandie Newton
975,The Lady from Shanghai,1947,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species. ",Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Thandie Newton
976,The Last of the Gladiators,1988,,,Twin Tower Enterprises,Evel Videos,Martin Jay Sadoff,Martin Jay Sadoff,Evel Knievel,,Dennis Quaid
977,The Laughing Policeman,1973,,,Twentieth Century Fox Film Corporation,American Broadcasting Company (ABC),Stuart Rosenberg,Thomas Rickman,Walter Matthau,Bruce Dern,Dennis Quaid
978,The Lineup,1958,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species. ",Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris
979,The Lineup,1958,2090 Jackson Street,,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris
980,The Lineup,1958,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris
981,The Lineup,1958,Sutro Baths (Point Lobos Avenue),,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris
982,The Lineup,1958,Pier 41,,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Ed Harris
983,The Lineup,1958,War Memorial Opera House (401 Van Ness Avenue),In 1945 the United Nations had its first conference at The War Memorial Opera House.,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Dennis Quaid
984,The Lineup,1958,The Embarcadero,,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,,Dennis Quaid
985,The Love Bug,1968,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Dean Jones,Michele Lee,Ed Harris
986,The Love Bug,1968,100 Block of Lombard Street,Lombard Street is not actually the crookedest in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Dean Jones,Michele Lee,Ed Harris
987,The Maltese Falcon,1941,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Warner Bros. Pictures,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart,Mary Astor,Anne Baxter
988,The Maltese Falcon,1941,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)",,Warner Bros. Pictures,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart,Mary Astor,
989,The Maltese Falcon,1941,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Warner Bros. Pictures,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart,Mary Astor,Selma Blair
990,The Master,2012,Pier 7/ Embarcadero,,H.H. Project,Weinstein Company,Paul Thomas Anderson,Paul Thomas Anderson,Philip Seymour Hoffman,Joaquin Phoenix,William Holden
991,The Matrix,1999,skyline/ exterior scenes,,Silver Pictures,Warner Bros. Pictures,The Wachowski Brothers,The Wachowski Brothers,Keanu Reeves,Laurence Fishburne,William Holden
992,The Net,1995,Montgomery & Market Streets,,Columbia Pictures Corp.,Columbia Pictures,Irwin Winkler,John Brancato,Sandra Bullock,Jeremy Northam,William Holden
993,The Net,1995,Moscone Convention Center,,Columbia Pictures Corp.,Columbia Pictures,Irwin Winkler,John Brancato,Sandra Bullock,Jeremy Northam,William Holden
994,The Nightmare Before Christmas,1993,,,Touchstone PictureS,Buena Vista Pictures,Henry Selick,Tim Burton,Danny Elfman,Catherine O'Hara,William Holden
995,The Organization,1971,,,The Mirisch Corporation,United Artists,Don Medford,James R. Webb,Sidney Poitier,,William Holden
996,The Other Sister,1999,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Mandeville Films,Buena Vista Pictures,Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,
